37984,55712,26086,43174,52379,33789,12699,80588,20396,24723,130414,11466,665797,47348,157161,16534,18997,34603,27787,51608,17851,26533,20728,58301,24901,14781,40905,43384,64734,37891,27852,53185,78102,19249,31737,56944,93402,96706,62746,34894,52853,165320,140047,35431,50178,41278,23521,67278,38701,60161,46289,25618,82155,56000,44906,58314,114802,133467,20426,14066,37676,34329,259117,28778,24052,1976,38099,13500,166891,23607,33756,43018,26796,15851,98741,27050,37362,34805,47636,140609,19872,38514,55461,31345,20286,21691,7415,87529,72533,44158,47125,75872,115058,49739,29022,27370,56042,21861,39319,276493,48153,50220,52568,81073,73360,135818,34266,53583,63322,17203,26067,10627,54138,22074,17312,20483,34476,25088,69851,48217,40040,68006,121630,30426,17913,41364,54564,28861,21925,12045,19966,52736,26857,107041,63064,14248,37424,144797,47777,14838,5476,52498,127211,156237,35553,33871,13872
39013,53889,26908,46417,53327,38058,13225,79455,22567,25822,132735,12076,632153,48486,149316,16767,18996,34620,27360,53545,17749,26885,22472,56451,25375,15790,43223,43726,63928,39150,27212,53565,72820,19063,32915,56765,87649,99930,63930,34904,54954,156099,160193,36980,51761,39436,26316,71773,41936,60124,43896,25331,73234,70484,52687,55375,118431,129535,18883,13621,38440,35432,257885,27951,23904,1971,40155,20104,158093,22864,32436,43633,27451,17604,108214,26267,36320,33613,49906,144068,19339,37497,60720,24726,24743,21166,8872,82911,73682,43167,44678,82080,106018,52791,29964,31123,60498,21095,39785,285403,37681,55884,51782,80392,95506,139996,36414,51053,61286,19492,27252,11894,59375,22474,16211,21062,33488,24148,75585,55725,37443,67724,113841,32161,17410,41708,54922,25370,22069,12072,19880,55332,25978,114853,71940,12590,36468,140999,47808,14718,5972,57816,120822,145716,36093,33603,13387
40106,50873,23938,47540,49150,34187,11832,79597,21214,23793,133359,15799,715005,44296,160492,17347,17032,10893,25420,42377,17039,27499,18441,55167,22246,13436,43978,38818,58043,32152,26252,52207,67582,19753,27352,53814,85758,106057,56451,38070,48606,176253,147354,32935,49072,35714,21480,70818,37097,57781,44477,24048,79553,68427,42637,60023,143676,139097,15565,11726,34430,31120,298323,29122,23297,2255,38641,16462,172559,23874,32238,37542,23339,14846,111357,24679,36340,29947,45925,139541,18725,33081,62257,24155,20852,19225,9711,81702,64420,40068,39751,87532,113761,55255,28145,30212,50656,20997,34592,313622,37782,49062,50895,74033,92270,132940,33346,45131,55745,18895,26580,9720,52289,22031,15957,17609,31551,19945,76867,46281,36974,59869,119830,29483,15929,37070,49396,30391,18463,11211,17988,51038,23493,95891,68590,12752,33468,145986,41938,12749,5159,46852,131969,154752,33740,32415,12082
35604,45293,22978,37520,44103,32506,10173,67881,22376,23070,123709,15403,580070,39476,135091,14795,17075,11149,24094,38001,15619,25502,15557,46195,20889,10928,36960,34749,50812,25647,22543,46277,62727,20589,27228,48188,77342,87857,54071,33199,46412,143443,134915,27708,43308,31160,18675,64217,30520,51687,41323,22216,62498,64893,38803,53577,124771,118836,13689,10476,31737,25499,243453,28637,21026,1748,37200,12150,148786,19251,28327,32132,21425,13138,96887,20987,32257,24062,39486,121510,16198,28884,47556,23283,20971,16534,8458,65019,57747,36236,37617,70921,93283,49770,24333,27687,43081,18686,29634,252999,39536,50408,37952,58545,79908,114911,31127,42176,48581,17440,24831,7650,48032,20331,14710,14963,29680,17800,64452,35961,33439,52773,102690,26420,14077,33478,41060,26099,16341,8022,15172,45239,19703,81294,67266,11978,28965,127716,41932,11260,4361,42713,131663,130921,34775,35935,12359
33586,44031,21925,37209,42340,30473,10249,62583,21895,22677,118943,17390,546286,37291,122057,13558,17771,24426,23803,38021,15417,25379,15184,46149,20672,11359,36289,34593,47944,26170,23235,45882,59863,17194,26350,49832,74623,86165,56667,28964,45004,136364,136731,28045,44718,30374,19897,64097,28171,51565,41865,22549,67608,65322,38043,53840,117648,114630,13053,10022,31990,28437,226165,27012,20134,1678,29349,9175,146219,17205,25959,30484,22218,12376,89308,19656,31556,23684,38842,109533,14097,27660,48314,21641,21636,15593,7560,66214,55036,35884,35289,65525,98724,46144,22760,26570,44340,17952,27057,253361,33042,47615,37789,60695,83773,102379,31867,40951,50522,16701,24484,7323,46147,20190,14406,14022,30338,16925,63567,33335,32261,49130,95485,26390,13224,32609,38515,21451,15622,11855,14900,42653,19086,77520,64820,11262,30849,120319,40845,12243,4412,42263,117819,122029,33563,33295,12151
40650,51260,28267,35760,48662,35405,11382,65913,28165,26698,122043,14050,605056,39499,136819,14679,18957,26188,25142,44612,16548,28747,16645,55096,25895,15004,40289,39537,54132,27750,25276,54910,65250,17654,31798,51774,77702,96480,59342,32581,48415,140851,148682,32822,48898,32740,21164,66983,32373,53037,46041,25683,83073,70226,43315,59349,126597,129754,15248,11167,40684,33852,255111,33817,21996,1781,36799,11624,153902,18941,29185,34078,24615,13848,100990,21432,39060,24556,46445,116131,17179,30339,53954,19157,24403,17433,7936,73455,59508,39436,38098,64207,107434,50272,25975,32397,52840,19326,32179,259145,39120,53220,40467,64973,94716,105029,38449,46033,54982,19853,38390,8545,47983,22247,17764,15578,35542,18642,66246,39859,34353,58512,98632,30962,14021,33737,45028,18795,18411,14642,15771,43693,21009,93367,74621,10184,39387,141138,43100,15891,4933,45455,117953,131836,30676,36278,15251
39427,53014,29253,39411,46008,34595,12233,64305,26815,27242,122831,12734,615811,38504,144183,14052,21954,27706,28656,43260,19114,28860,16657,51988,23282,13952,39824,38290,56228,31404,24890,52671,64571,17954,34206,51173,76653,95958,60969,32249,51066,143663,155630,32632,50297,32203,22114,68658,33189,52574,46420,24454,80276,74797,41661,58839,137677,130622,14880,10890,40468,42455,259662,35857,22185,1763,41578,12266,173691,18652,27904,33095,23192,13927,103989,22234,36909,25617,43307,117292,16779,30344,56245,17829,25542,17919,8177,75377,57124,38661,37025,65767,105188,51814,25862,32081,53092,18158,32491,271568,41796,57423,39906,63967,98076,105933,38775,45504,51928,20323,39126,8921,47226,23313,15602,15884,33897,17233,67406,42419,34559,59355,98614,31645,14444,33394,42879,24633,17243,14483,15510,47081,20563,93441,77990,11119,38822,128431,44452,15258,4828,44098,116826,133700,32429,48193,16635
41425,47447,23016,37388,43408,38640,11321,70004,27041,28025,127186,16730,594659,40519,148492,12712,24664,16734,27770,43497,17112,25851,15755,45942,20982,14099,38107,39654,56867,35741,26181,48575,67317,20062,32804,54185,84368,101945,63593,35523,49999,145786,163913,28259,54429,32988,23375,67839,38382,54060,47803,23320,83816,79405,43211,53534,136138,130455,14568,10934,35841,44821,262376,32012,22272,1911,41034,16786,177416,22265,29495,34718,24474,14055,100841,26174,39877,25928,44861,131904,16697,33073,63382,16402,25782,17999,8790,85980,62351,40411,41418,60610,113837,51906,26594,32513,49836,18905,34282,288619,38934,58477,43353,71175,82361,105754,39003,48429,54766,20677,36178,8373,51829,21534,16398,13364,32844,18654,64895,46181,35715,58698,101808,32637,14829,35471,44714,26712,17284,14142,16129,53241,21639,96793,77047,13474,38913,123368,48759,15431,4328,49262,128025,153189,30584,47119,15318
40349,45794,22393,40637,41367,40228,11193,72026,26126,29394,125073,16398,565776,37572,148337,14970,19947,15810,26302,44476,17839,21750,13774,43040,20708,14117,38625,37878,55651,29325,26165,47862,63571,15045,31633,50833,76806,95794,62168,34190,47223,146796,155586,27411,56912,32570,20478,66290,32663,53047,47153,24439,82841,82286,43679,56188,129889,125271,13731,10466,32902,36013,248832,29272,20973,1838,45461,14567,169393,24812,27662,35251,26530,12722,109687,29679,43515,25685,39492,113797,15523,32579,62636,16915,28205,17926,8124,69157,58461,39464,38335,64314,99543,48644,29308,31999,52857,18218,28718,291543,39688,62066,40612,69618,96658,101222,42060,45143,54272,23533,27015,8461,54035,22456,16963,12979,33710,16978,68420,42290,34992,63436,97523,34185,13880,32323,46557,26552,14581,12569,16075,46449,20493,101011,80741,12676,35672,114443,46676,14341,3983,43964,119557,138087,37197,40209,14466
39802,39511,20362,37717,38341,39634,10671,70619,23025,27062,121974,17931,614062,35633,162706,14075,21430,24132,26868,42993,19996,29775,14910,39714,19075,12526,41421,37665,58949,26894,25034,42375,56273,18596,34003,48512,72893,101519,51190,29093,47365,148656,182776,25694,47715,31161,18722,62708,28641,51558,44230,24707,80854,68195,47469,63369,142613,134732,12200,10031,29216,42565,254862,30128,21127,1865,39936,12626,200460,23915,22260,34043,21748,11725,107147,26361,40594,24566,37937,115534,16727,31598,60329,14101,22389,16808,8257,67870,51109,39014,34875,74893,96690,54924,27228,29138,51735,17724,28833,289018,34336,62741,41159,65051,107780,92120,38694,43429,48882,21845,28183,7738,47152,21711,16554,12118,33785,16183,74001,36172,33836,54922,100784,37144,13641,31206,44977,22189,17156,7232,14966,38934,19477,89046,84461,10817,36552,118066,43981,14913,4421,41423,119730,144342,44261,51131,11949
